NO.,名称,网址,说明,标签,国内访问Y/N,记录日期,
1,Cisco,http://www.china-ccie.com,Cisco 密码查看工具,密码查看,,,
2,cdkm,https://cdkm.com/cn/mov-to-gif,免费在线将MOV文件转换成GIF,文件转换,,,
3,convertio,https://convertio.co/zh/,文件转换器任意格式,文件转换,,,
4,vpn gate,https://www.vpngate.net/cn/,公共VPN服务器,VPN,国内无法访问,,
5,Windows 文件恢复,https://support.microsoft.com/zh-cn/windows/在-windows-10-上恢复丢失的文件-61f5b28a-f5b8-3cc2-0f8e-a63cb4e1d4c4,文件恢复 命令操作,文件恢复,,,
6,WinFR界面版,https://www.disktool.cn/recovery/winfr.html,Windows文件恢复（微软命令行程序）的免费图形界面,文件恢复,,,
7,permadelete,https://github.com/DevelopersTree/permadelete/releases,很难恢复的删除，永久删除,永久删除,国内访问困难,,
8,moakt,http://www.moakt.com/zh,临时邮箱 1小时,临时邮箱,,,
9,tempmail,https://temp-mail.org/zh/,临时邮箱 10分钟,临时邮箱,,,
10,查错IT网,http://24mail.chacuo.net,临时邮箱 1天 ,临时邮箱,国内访问困难,,
11,VideoLAN,https://www.videolan.org/index.zh_CN.html,VLC media player VLC 是一款自由、开源的跨平台多媒体播放器及框架，可播放大多数多媒体文件，以及 DVD、音频 CD、VCD 及各类流媒体协议。,多媒体播放器,,,
12,LibreOffice ,https://zh-cn.libreoffice.org,自由免费的全能办公套件,办公软件,,,
13,blender,"https://www.blender.org/
https://mirrors.aliyun.com/blender/release/Blender3.0/",2D 3D创作,视频制作,,,
14,AVIRA,https://www.avira.com/zh-cn,杀毒免费版、密码管家,杀毒,,,
15,bitdefender,https://www.bitdefender.com,杀毒软件 ，苹果系统直接在app store里搜索下载。,杀毒,,,
16,WinSCP,https://winscp.net/eng/download.php,适用于windows的免费SFTP、SCP、S3和FTP客户端,FTP软件,,,
17,正版中国,https://www.getitfree.cn/,正版软件，优惠、限免、开源,软件下载,,,
18,softonic,https://en.softonic.com/,软件下载中心,软件下载,,,
19,fosshub,https://www.fosshub.com/,安全、快速、免费软件下载中心没有恶意软件，没有捆绑,软件下载,,,
20,macwk,www.macwk.com,只收录精品Mac应用,软件下载,,,
21,macbl,www.macbl.com,分享你喜欢的MAC应用,软件下载,,,
22,浅水域share,wldt.qsyshare.com,网络地图,网络地图,,,
23,怡萱动漫,http://www.yxdm.li/,免責聲明：本站的日本動漫由網路第三方視頻站點收集，本站不提供任何試聽上傳服務，動漫僅供港臺地區以及非中國大陸華人日文學習。,动漫,部分国内无法访问,,
24,php中文网,https://www.php.cn,公益在线php培训，帮助PHP学习者快速成长！,编程开发,,,
25,beebom,https://beebom.com/,领先的消费者技术网站之一，旨在帮助人们以更好的方式理解和使用技术。,媒体,,,
26,runoob.com,https://www.runoob.com/,菜鸟教程 ,编程开发,,,
27,115,https://115.com/,115网盘,网盘,,,
28,dreamstime,https://cn.dreamstime.com/,图片库和免版税图像，图片交易,图库,,,
29,优酷,https://youku.com/,"优酷是阿里巴巴文化娱乐集团的核心用户引擎，是中国领先的在线视频平台，现支持PC、电视、移动三大终端，兼具版权、自制、合制、自频道、直播等多种内容形态。
优酷以“你的热爱 正在热播”为品牌主张，",视频,,,
30,css-tricks,https://css-tricks.com/,学习css,编程开发,,,
31,cmd5,https://www.cmd5.com/,"本站对于md5、sha1、mysql、ntlm等的实时解密成功率在全球遥遥领先。成立15年，一直被抄袭,从未被超越。",解密,,,
32,pixlr,https://pixlr.com/cn/,图像编辑器、动画和设计, 设计,国内访问困难,,
33,Zlibary,https://zh.ng1lib.org,全球最大的免费数字图书馆,图书,,,
34,w3cschool,https://www.w3cschool.cn,随时随地学编程，开发者常用的在线工具,编程开发,,,
35,w3schools,https://www.w3schools.com,"学习编码,拥有世界上最大的网络开发人员网站",编程开发,,,
